"species_id","group_id","behavior","domains","behavior_id","Ordr","Class"
"Ploceus_bicolor_stictifrons",700021,"False Bay dialect forest weavers song dialect","mating",25,"Passeriformes","Aves"
"Ploceus_bicolor_stictifrons",700032,"Hluhluwe River dialect forest weavers song dialect","vocal communication",38,"Passeriformes","Aves"
"Ploceus_bicolor_stictifrons",700031,"Hluhluwe Park dialect forest weavers song dialect","mating",37,"Passeriformes","Aves"
"Ploceus_bicolor_stictifrons",700021,"False Bay dialect forest weavers song dialect","vocal communication",25,"Passeriformes","Aves"
"Ploceus_bicolor_stictifrons",700031,"Hluhluwe Park dialect forest weavers song dialect","vocal communication",37,"Passeriformes","Aves"
"Poecile_atricapillus",700043,"Lee Martinez Park (LMP) black-capped chickadees gargle call","social",49,"Passeriformes","Aves"
"Poecile_atricapillus",700020,"Environmental Learning Center (ELC) black-capped chickadees gargle call","social",24,"Passeriformes","Aves"
"Poecile_atricapillus",700024,"Fort Collins chickadees dawn chorus song types","mating",28,"Passeriformes","Aves"
"Poecile_atricapillus",700020,"Environmental Learning Center (ELC) black-capped chickadees gargle call","vocal communication",24,"Passeriformes","Aves"
"Poecile_atricapillus",700055,"Mulberry/Lemay (ML) black-capped chickadees gargle call","social",61,"Passeriformes","Aves"
"Poecile_atricapillus",700043,"Lee Martinez Park (LMP) black-capped chickadees gargle call","vocal communication",49,"Passeriformes","Aves"
"Poecile_atricapillus",700055,"Mulberry/Lemay (ML) black-capped chickadees gargle call","vocal communication",61,"Passeriformes","Aves"
"Poecile_atricapillus",700024,"Fort Collins chickadees dawn chorus song types","vocal communication",28,"Passeriformes","Aves"
"Pongo_abelii",700092,"Suaq Balimbing orangutans slow loris hunting","foraging",103,"Primates","Mammalia"
"Pongo_abelii",700092,"Suaq Balimbing orangutans Neesia tool use","foraging",101,"Primates","Mammalia"
"Pongo_abelii",700092,"Suaq Balimbing orangutans bunk nesting","architecture",102,"Primates","Mammalia"
"Pongo_pygmaeus_wurmbii",700097,"Tuanan orangutans bunk nesting","architecture",109,"Primates","Mammalia"
"Pongo_pygmaeus_wurmbii",700111,"Tanjung Puting orangutans snag-riding","social",127,"Primates","Mammalia"
"Pongo_pygmaeus_wurmbii",700112,"Gunung Palung orangutans leaf kiss-squeak","vocal communication",128,"Primates","Mammalia"
"Rattus_rattus",700035,"Israeli pine cone population pinecone stripping","foraging",41,"Rodentia","Mammalia"
"Rattus_rattus",700034,"Israeli cypress population pinecone stripping","foraging",40,"Rodentia","Mammalia"
"Rhinolophus_monoceros",700023,"Formosan lesser horseshoe bats populations 1-20 echolocation call frequency","vocal communication",27,"Chiroptera","Mammalia"
"Rhinolophus_monoceros",700023,"Formosan lesser horseshoe bats populations 1-20 echolocation call frequency","social",27,"Chiroptera","Mammalia"
"Rhinolophus_pumilus",700066,"Okinawa horseshoe bats South colonies echolocation call frequency","social",73,"Chiroptera","Mammalia"
"Rhinolophus_pumilus",700065,"Okinawa horseshoe bats North colonies echolocation call frequency","social",72,"Chiroptera","Mammalia"
"Rhinolophus_pumilus",700065,"Okinawa horseshoe bats North colonies echolocation call frequency","vocal communication",72,"Chiroptera","Mammalia"
"Rhinolophus_pumilus",700066,"Okinawa horseshoe bats South colonies echolocation call frequency","vocal communication",73,"Chiroptera","Mammalia"
"Sapajus_libidinosus",700103,"Chapada dos Veadeiros capuchins stone tool nut-cracking","foraging",118,"Primates","Mammalia"
"Sapajus_libidinosus",700037,"Jurubeba group stick and stone tool use","foraging",43,"Primates","Mammalia"
"Sapajus_libidinosus",700064,"Oitenta group stick and stone tool use","foraging",71,"Primates","Mammalia"
"Sotalia_guianensis",700006,"Cananéia Estuary Guiana dolphins beach hunting","foraging",10,"Cetacea","Mammalia"
"Tursiops_aduncus",700085,"Shark Bay dolphins prey inspection","foraging",91,"Cetacea","Mammalia"
"Tursiops_aduncus",700085,"Shark Bay dolphins sponging","foraging",90,"Cetacea","Mammalia"
"Tursiops_aduncus",700053,"Moreton Bay trawler dolphins trawler foraging","foraging",59,"Cetacea","Mammalia"
"Zonotrichia_capensis",700070,"Papallacta sparrows song dialect","mating",76,"Passeriformes","Aves"
"Zonotrichia_capensis",700070,"Papallacta sparrows song dialect","vocal communication",76,"Passeriformes","Aves"
"Zonotrichia_leucophrys_nuttalli",700042,"Lake Merced dialect white-crowned sparrows song dialect","mating",48,"Passeriformes","Aves"
"Zonotrichia_leucophrys_nuttalli",700042,"Lake Merced dialect white-crowned sparrows song dialect","vocal communication",48,"Passeriformes","Aves"
"Zonotrichia_leucophrys_nuttalli",700073,"Presidio dialect white-crowned sparrows song dialect","mating",79,"Passeriformes","Aves"
"Zonotrichia_leucophrys_nuttalli",700073,"Presidio dialect white-crowned sparrows song dialect","vocal communication",79,"Passeriformes","Aves"
"Zonotrichia_leucophrys_nuttalli",700082,"San Francisco dialect white-crowned sparrows song dialect","mating",88,"Passeriformes","Aves"
"Zonotrichia_leucophrys_nuttalli",700082,"San Francisco dialect white-crowned sparrows song dialect","vocal communication",88,"Passeriformes","Aves"
